datetime,value
2020-05-01 00:22:29,0.0
2020-05-01 00:33:20,1.0
2020-05-01 01:54:43,0.0
2020-05-01 01:55:43,1.0
2020-05-01 16:31:46,0.0
2020-05-01 17:06:36,1.0
2020-05-01 23:05:40,0.0
2020-05-01 23:26:01,1.0
2020-05-02 13:57:14,0.0
2020-05-02 15:24:58,1.0
2020-05-02 21:59:23,0.0
2020-05-02 22:04:13,1.0
2020-05-02 23:37:06,0.0
2020-05-02 23:41:07,1.0
2020-05-03 02:21:32,0.0
2020-05-03 02:45:33,1.0
2020-05-03 07:37:55,0.0
2020-05-03 08:02:26,1.0
2020-05-03 21:32:37,0.0
2020-05-03 22:04:28,1.0
2020-05-03 23:18:31,0.0
2020-05-03 23:21:41,1.0
2020-05-04 02:35:08,0.0
2020-05-04 02:59:49,1.0
2020-05-04 16:24:31,0.0
2020-05-04 16:28:01,1.0
2020-05-04 18:33:26,0.0
2020-05-04 18:50:06,1.0
2020-05-04 19:16:28,0.0
2020-05-04 19:50:29,1.0
2020-05-04 22:39:55,0.0
2020-05-04 22:43:36,1.0
2020-05-05 01:49:13,0.0
2020-05-05 02:20:34,1.0
2020-05-05 07:18:36,0.0
2020-05-05 07:39:57,1.0
2020-05-05 11:53:56,0.0
2020-05-05 12:25:18,1.0
2020-05-05 12:50:29,0.0
2020-05-05 13:05:10,1.0
2020-05-05 13:31:11,0.0
2020-05-05 14:18:43,1.0
2020-05-05 16:28:28,0.0
2020-05-05 16:58:49,1.0
2020-05-05 17:26:00,0.0
2020-05-05 17:50:11,1.0
2020-05-05 18:20:32,0.0
2020-05-05 19:30:44,1.0
2020-05-05 21:26:19,0.0
2020-05-05 21:55:50,1.0
2020-05-06 00:19:05,0.0
2020-05-06 00:31:46,1.0
2020-05-06 03:51:24,0.0
2020-05-06 03:59:24,1.0
2020-05-06 07:52:53,0.0
2020-05-06 09:23:56,1.0
2020-05-06 21:55:55,0.0
2020-05-06 22:03:16,1.0
2020-05-06 22:58:18,0.0
2020-05-06 23:19:49,1.0
2020-05-07 02:05:35,0.0
2020-05-07 02:24:46,1.0
2020-05-07 21:06:18,0.0
2020-05-07 21:23:39,1.0
2020-05-08 00:12:16,0.0
2020-05-08 00:17:56,1.0
2020-05-08 10:59:20,0.0
2020-05-08 12:50:14,1.0
2020-05-08 13:16:05,0.0
2020-05-08 13:40:36,1.0
2020-05-08 14:05:37,0.0
2020-05-08 16:52:03,1.0
2020-05-08 18:50:28,0.0
2020-05-08 20:46:42,1.0
2020-05-08 22:36:36,0.0
2020-05-08 22:52:47,1.0
2020-05-08 23:43:49,0.0
2020-05-08 23:44:09,1.0
2020-05-09 01:44:33,0.0
2020-05-09 02:01:44,1.0
2020-05-09 04:03:28,0.0
2020-05-09 04:03:48,1.0
2020-05-09 08:29:28,0.0
2020-05-09 08:35:38,1.0
2020-05-09 09:01:19,0.0
2020-05-09 09:08:20,1.0
2020-05-09 12:04:06,0.0
2020-05-09 14:03:01,1.0
2020-05-09 15:02:13,0.0
2020-05-09 15:21:54,1.0
2020-05-09 23:23:02,0.0
2020-05-09 23:25:02,1.0
2020-05-10 02:47:00,0.0
2020-05-10 02:55:00,1.0
2020-05-10 08:06:52,0.0
2020-05-10 08:15:32,1.0
2020-05-10 18:25:25,0.0
2020-05-10 18:25:35,1.0
2020-05-10 19:49:08,0.0
2020-05-10 19:54:58,1.0
2020-05-10 21:21:52,0.0
