datetime,2020-05_lgh1_CO2_livingroom,2020-05_lgh1_light_livingroom,2020-05_lgh1_rh_livingroom,2020-05_lgh1_temp_livingroom,2020-05_lgh1_temp_outdoor,occupancy
2020-05-01 00:00:00,,,,,,
2020-05-01 00:30:00,555.3600158691405,,,,,1.0
2020-05-01 01:00:00,553.440002441406,,,,,
2020-05-01 01:30:00,546.0800018310547,,27.0,24.2199993133545,,
2020-05-01 02:00:00,547.1199951171873,,28.0,,,1.0
2020-05-01 02:30:00,556.2239990234376,,,,,
2020-05-01 03:00:00,567.8399963378905,,,,,
2020-05-01 03:30:00,560.960021972656,,28.6,,,
2020-05-01 04:00:00,549.760009765625,,,,,
2020-05-01 04:30:00,574.613342285156,18.0,30.0,,,
2020-05-01 05:00:00,600.0,34.5,,,,
2020-05-01 05:30:00,586.8800150553385,39.5,30.6,,,
2020-05-01 06:00:00,632.4000244140625,62.5,30.5,24.3199996948242,5.92000007629395,
2020-05-01 06:30:00,601.8559936523437,65.25,30.5,,6.42000007629395,
2020-05-01 07:00:00,589.760009765625,60.4,,,,
2020-05-01 07:30:00,650.0800069173175,62.5,32.0,,6.92000007629395,
2020-05-01 08:00:00,654.4533284505206,58.0,32.06666666666667,,,
2020-05-01 08:30:00,606.5777723524304,37.0,32.0,,,
2020-05-01 09:00:00,602.49599609375,22.0,33.57142857142857,,,
2020-05-01 09:30:00,610.3999938964845,23.5,33.333333333333336,,6.42000007629395,
2020-05-01 10:00:00,600.8533528645834,43.8,34.0,24.4200000762939,,
2020-05-01 10:30:00,614.719970703125,37.333333333333336,,,,
2020-05-01 11:00:00,631.8399963378905,34.0,,,,
2020-05-01 11:30:00,630.506673177083,14.0,,,,
2020-05-01 12:00:00,593.7066752115885,26.0,31.857142857142858,,,
2020-05-01 12:30:00,549.066670735677,16.0,32.42857142857143,24.2800006866455,,
2020-05-01 13:00:00,585.279998779297,4.444444444444445,,,,
2020-05-01 13:30:00,576.960021972656,10.0,,,,
2020-05-01 14:00:00,591.3600158691405,5.0,35.0,,,
2020-05-01 14:30:00,601.17333984375,20.0,,,,
2020-05-01 15:00:00,571.748570033482,10.0,35.666666666666664,,6.92000007629395,
2020-05-01 15:30:00,554.0072687322444,4.285714285714286,35.333333333333336,,,
2020-05-01 16:00:00,525.394282749721,5.0,,24.1800003051758,,
2020-05-01 16:30:00,494.50666300455737,,,,,0.0
2020-05-01 17:00:00,526.7555575900607,,35.6,24.0799999237061,,1.0
2020-05-01 17:30:00,599.4880126953122,,,24.23999977111815,,
2020-05-01 18:00:00,582.4640014648437,,35.0,24.1800003051758,,
2020-05-01 18:30:00,544.5866699218747,,34.0,24.23000049591065,,
2020-05-01 19:00:00,615.5733439127604,,35.5,,,
2020-05-01 19:30:00,605.9200134277345,,,24.2800006866455,,
2020-05-01 20:00:00,594.8800048828125,,,,,
2020-05-01 20:30:00,588.799987792969,,,24.3999996185303,,
2020-05-01 21:00:00,605.8666585286456,,,24.5,,
2020-05-01 21:30:00,606.8800048828125,,34.4,,,
2020-05-01 22:00:00,589.760009765625,,34.5,,,
2020-05-01 22:30:00,574.1866455078124,,,24.3999996185303,,
2020-05-01 23:00:00,567.8933512369794,,,24.2999992370605,,0.0
2020-05-01 23:30:00,565.440002441406,,,,,1.0
2020-05-02 00:00:00,549.5466715494794,,34.666666666666664,,,
2020-05-02 00:30:00,,,,,,
2020-05-02 01:00:00,562.3999938964845,,34.333333333333336,,,
2020-05-02 01:30:00,545.919982910156,,,,,
2020-05-02 02:00:00,,,,,,
2020-05-02 02:30:00,558.719970703125,,,24.1800003051758,,
2020-05-02 03:00:00,543.7866617838544,,,,,
2020-05-02 03:30:00,537.919982910156,,33.0,,,
